Fluid,Temperature,Viscosity,Density
Water,0,0.001792,999.84
Water,5,0.001519,999.99
Water,10,0.001307,999.70
Water,15,0.001138,999.10
Water,20,0.001002,998.21
Water,25,0.000890,997.05
Water,30,0.000798,995.65
Water,35,0.000719,994.03
Water,40,0.000653,992.22
Water,45,0.000596,990.21
Water,50,0.000547,988.05
Water,55,0.000504,985.73
Water,60,0.000467,983.21
Water,65,0.000434,980.51
Water,70,0.000404,977.76
Water,75,0.000378,974.87
Water,80,0.000355,971.80
Water,85,0.000335,968.62
Water,90,0.000317,965.30
Water,95,0.000301,961.87
Water,100,0.000282,958.40
